tiempo,id,x,y
121,3,384,36
122,0,326,42.4
122,1,346,42.4
122,2,366,42.4
122,3,386,42.4
123,0,328,49.2
123,1,348,49.2
123,2,368,49.2
123,3,388,49.2
124,0,330,56.4
124,1,350,56.4
124,2,370,56.4
124,3,390,56.4
125,0,332,64
125,1,352,64
125,2,372,64
125,3,392,64
126,0,334,72
126,1,354,72
126,2,374,72
126,3,394,72
127,0,336,80.4
127,1,356,80.4
127,2,376,80.4
127,3,396,80.4
128,0,338,89.2
128,1,358,89.2
128,2,378,89.2
128,3,398,89.2
129,0,340,98.4
129,1,360,98.4
129,2,380,98.4
129,3,400,98.4
130,0,342,108
130,1,362,108
130,2,382,108
130,3,402,108
131,0,344,110
131,1,364,110
131,2,384,110
131,3,404,110
132,0,346,100.4
132,1,366,100.4
132,2,386,100.4
132,3,406,100.4
133,0,348,91.2
133,1,368,91.2
133,2,388,91.2
133,3,408,91.2
134,0,350,82.4
134,1,370,82.4
134,2,390,82.4
134,3,410,82.4
135,0,352,74
135,1,372,74
135,2,392,74
135,3,412,74
136,0,354,66
136,1,374,66
136,2,394,66
136,3,414,66
137,0,356,58.4
137,1,376,58.4
137,2,396,58.4
137,3,416,58.4
138,0,358,51.2
138,1,378,51.2
138,2,398,51.2
138,3,418,51.2
139,0,360,44.4
139,1,380,44.4
139,2,400,44.4
139,3,420,44.4
140,0,362,38
140,1,382,38
140,2,402,38
140,3,422,38
141,0,364,32
141,1,384,32
141,2,404,32
141,3,424,32
142,0,366,26.4
142,1,386,26.4
142,2,406,26.4
142,3,426,26.4
143,0,368,21.2
143,1,388,21.2
143,2,408,21.2
143,3,428,21.2
144,0,370,16.4
144,1,390,16.4
144,2,410,16.4
144,3,430,16.4
145,0,372,12
145,1,392,12
145,2,412,12
145,3,432,12
146,0,374,10
146,1,394,10
146,2,414,10
146,3,434,10
147,0,376,14.4
147,1,396,14.4
147,2,416,14.4
147,3,436,14.4
148,0,378,19.2
148,1,398,19.2
148,2,418,19.2
148,3,438,19.2
149,0,380,24.4
149,1,400,24.4
149,2,420,24.4
149,3,440,24.4
